"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","312999","TC_CC_2_2.py","","2026-09-23","passed","2026-09-23","","Nightly CI Tests","Nightly CI Tests",""
"","685592","TC_SU_2_2.py","","2026-09-23","passed","2026-09-23","","Nightly CI Tests","Nightly CI Tests",""
"","1025236","TC_SU_2_7.py","","2026-09-23","passed","2026-09-23","","Nightly CI Tests","Nightly CI Tests",""
"","860932","TC_SU_2_5.py","","2026-09-23","passed","2026-09-23","","Nightly CI Tests","Nightly CI Tests",""
"","183270","TC_SU_2_4.py","","2026-09-23","passed","2026-09-23","","Nightly CI Tests","Nightly CI Tests",""
"","283806","TC_BRBINFO_4_1.py","","2026-09-23","passed","2026-09-23","","Nightly CI Tests","Nightly CI Tests",""
