"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","155456","TC_CC_2_2.py","","2026-08-21","passed","2026-08-21","","Nightly CI Tests","Nightly CI Tests",""
"","2877","TC_SU_2_7.py","","2026-08-21","failed","2026-08-21","","Nightly CI Tests","Nightly CI Tests",""
"","292351","TC_BRBINFO_4_1.py","","2026-08-21","passed","2026-08-21","","Nightly CI Tests","Nightly CI Tests",""
"","857995","TC_SU_2_5.py","","2026-08-21","passed","2026-08-21","","Nightly CI Tests","Nightly CI Tests",""
