"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","859262","TC_SU_2_5.py","","2026-09-21","passed","2026-09-21","","Nightly CI Tests","Nightly CI Tests",""
"","182701","TC_SU_2_4.py","","2026-09-21","passed","2026-09-21","","Nightly CI Tests","Nightly CI Tests",""
"","1021768","TC_SU_2_7.py","","2026-09-21","passed","2026-09-21","","Nightly CI Tests","Nightly CI Tests",""
"","684433","TC_SU_2_2.py","","2026-09-21","passed","2026-09-21","","Nightly CI Tests","Nightly CI Tests",""
"","291224","TC_BRBINFO_4_1.py","","2026-09-21","passed","2026-09-21","","Nightly CI Tests","Nightly CI Tests",""
"","304563","TC_CC_2_2.py","","2026-09-21","passed","2026-09-21","","Nightly CI Tests","Nightly CI Tests",""
