"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1111976","TC_SU_2_7.py","","2026-08-01","passed","2026-08-01","","Nightly CI Tests","Nightly CI Tests",""
"","154557","TC_CC_2_2.py","","2026-08-01","passed","2026-08-01","","Nightly CI Tests","Nightly CI Tests",""
"","289638","TC_BRBINFO_4_1.py","","2026-08-01","passed","2026-08-01","","Nightly CI Tests","Nightly CI Tests",""
"","862155","TC_SU_2_5.py","","2026-08-01","passed","2026-08-01","","Nightly CI Tests","Nightly CI Tests",""
