"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","684217","TC_SU_2_2.py","","2026-09-18","passed","2026-09-18","","Nightly CI Tests","Nightly CI Tests",""
"","283540","TC_BRBINFO_4_1.py","","2026-09-18","passed","2026-09-18","","Nightly CI Tests","Nightly CI Tests",""
"","306571","TC_CC_2_2.py","","2026-09-18","passed","2026-09-18","","Nightly CI Tests","Nightly CI Tests",""
"","1024260","TC_SU_2_7.py","","2026-09-18","passed","2026-09-18","","Nightly CI Tests","Nightly CI Tests",""
"","182507","TC_SU_2_4.py","","2026-09-18","passed","2026-09-18","","Nightly CI Tests","Nightly CI Tests",""
"","860839","TC_SU_2_5.py","","2026-09-18","passed","2026-09-18","","Nightly CI Tests","Nightly CI Tests",""
