"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","304177","TC_SU_2_7.py","","2026-06-14","passed","2026-06-14","","Nightly CI Tests","Nightly CI Tests",""
"","304256","TC_SU_2_5.py","","2026-06-14","passed","2026-06-14","","Nightly CI Tests","Nightly CI Tests",""
"","153462","TC_CC_2_2.py","","2026-06-14","passed","2026-06-14","","Nightly CI Tests","Nightly CI Tests",""
"","296137","TC_BRBINFO_4_1.py","","2026-06-14","passed","2026-06-14","","Nightly CI Tests","Nightly CI Tests",""
