"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","861237","TC_SU_2_5.py","","2026-09-15","passed","2026-09-15","","Nightly CI Tests","Nightly CI Tests",""
"","805549","TC_SU_2_2.py","","2026-09-15","passed","2026-09-15","","Nightly CI Tests","Nightly CI Tests",""
"","292786","TC_BRBINFO_4_1.py","","2026-09-15","passed","2026-09-15","","Nightly CI Tests","Nightly CI Tests",""
"","305189","TC_CC_2_2.py","","2026-09-15","passed","2026-09-15","","Nightly CI Tests","Nightly CI Tests",""
"","183160","TC_SU_2_4.py","","2026-09-15","passed","2026-09-15","","Nightly CI Tests","Nightly CI Tests",""
"","1022620","TC_SU_2_7.py","","2026-09-15","passed","2026-09-15","","Nightly CI Tests","Nightly CI Tests",""
