"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","859098","TC_SU_2_5.py","","2026-08-25","passed","2026-08-25","","Nightly CI Tests","Nightly CI Tests",""
"","3543","TC_SU_2_7.py","","2026-08-25","failed","2026-08-25","","Nightly CI Tests","Nightly CI Tests",""
"","155374","TC_CC_2_2.py","","2026-08-25","passed","2026-08-25","","Nightly CI Tests","Nightly CI Tests",""
"","293166","TC_BRBINFO_4_1.py","","2026-08-25","passed","2026-08-25","","Nightly CI Tests","Nightly CI Tests",""
