"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","292040","TC_BRBINFO_4_1.py","","2026-08-27","passed","2026-08-27","","Nightly CI Tests","Nightly CI Tests",""
"","859304","TC_SU_2_5.py","","2026-08-27","passed","2026-08-27","","Nightly CI Tests","Nightly CI Tests",""
"","153625","TC_CC_2_2.py","","2026-08-27","passed","2026-08-27","","Nightly CI Tests","Nightly CI Tests",""
"","2862","TC_SU_2_7.py","","2026-08-27","failed","2026-08-27","","Nightly CI Tests","Nightly CI Tests",""
