"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","304146","TC_SU_2_7.py","","2026-06-21","passed","2026-06-21","","Nightly CI Tests","Nightly CI Tests",""
"","304318","TC_SU_2_5.py","","2026-06-21","passed","2026-06-21","","Nightly CI Tests","Nightly CI Tests",""
"","297376","TC_BRBINFO_4_1.py","","2026-06-21","passed","2026-06-21","","Nightly CI Tests","Nightly CI Tests",""
"","155666","TC_CC_2_2.py","","2026-06-21","passed","2026-06-21","","Nightly CI Tests","Nightly CI Tests",""
