"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","160389","TC_CC_2_2.py","","2026-09-10","passed","2026-09-10","","Nightly CI Tests","Nightly CI Tests",""
"","1022326","TC_SU_2_7.py","","2026-09-10","passed","2026-09-10","","Nightly CI Tests","Nightly CI Tests",""
"","864905","TC_SU_2_5.py","","2026-09-10","passed","2026-09-10","","Nightly CI Tests","Nightly CI Tests",""
"","294541","TC_BRBINFO_4_1.py","","2026-09-10","passed","2026-09-10","","Nightly CI Tests","Nightly CI Tests",""
"","807313","TC_SU_2_2.py","","2026-09-10","passed","2026-09-10","","Nightly CI Tests","Nightly CI Tests",""
