"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","304248","TC_SU_2_5.py","","2026-06-27","passed","2026-06-27","","Nightly CI Tests","Nightly CI Tests",""
"","297382","TC_BRBINFO_4_1.py","","2026-06-27","passed","2026-06-27","","Nightly CI Tests","Nightly CI Tests",""
"","304147","TC_SU_2_7.py","","2026-06-27","passed","2026-06-27","","Nightly CI Tests","Nightly CI Tests",""
"","155444","TC_CC_2_2.py","","2026-06-27","passed","2026-06-27","","Nightly CI Tests","Nightly CI Tests",""
