"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1114321","TC_SU_2_7.py","","2026-08-10","passed","2026-08-10","","Nightly CI Tests","Nightly CI Tests",""
"","153400","TC_CC_2_2.py","","2026-08-10","passed","2026-08-10","","Nightly CI Tests","Nightly CI Tests",""
"","290771","TC_BRBINFO_4_1.py","","2026-08-10","passed","2026-08-10","","Nightly CI Tests","Nightly CI Tests",""
"","863952","TC_SU_2_5.py","","2026-08-10","passed","2026-08-10","","Nightly CI Tests","Nightly CI Tests",""
