"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","182097","TC_SU_2_4.py","","2026-09-13","passed","2026-09-13","","Nightly CI Tests","Nightly CI Tests",""
"","861113","TC_SU_2_5.py","","2026-09-13","passed","2026-09-13","","Nightly CI Tests","Nightly CI Tests",""
"","1022756","TC_SU_2_7.py","","2026-09-13","passed","2026-09-13","","Nightly CI Tests","Nightly CI Tests",""
"","684209","TC_SU_2_2.py","","2026-09-13","passed","2026-09-13","","Nightly CI Tests","Nightly CI Tests",""
"","155507","TC_CC_2_2.py","","2026-09-13","failed","2026-09-13","","Nightly CI Tests","Nightly CI Tests",""
"","292160","TC_BRBINFO_4_1.py","","2026-09-13","passed","2026-09-13","","Nightly CI Tests","Nightly CI Tests",""
