"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3081","TC_SU_2_7.py","","2026-08-24","failed","2026-08-24","","Nightly CI Tests","Nightly CI Tests",""
"","860602","TC_SU_2_5.py","","2026-08-24","passed","2026-08-24","","Nightly CI Tests","Nightly CI Tests",""
"","292062","TC_BRBINFO_4_1.py","","2026-08-24","passed","2026-08-24","","Nightly CI Tests","Nightly CI Tests",""
"","156414","TC_CC_2_2.py","","2026-08-24","passed","2026-08-24","","Nightly CI Tests","Nightly CI Tests",""
