"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","304260","TC_SU_2_5.py","","2026-06-18","passed","2026-06-18","","Nightly CI Tests","Nightly CI Tests",""
"","304180","TC_SU_2_7.py","","2026-06-18","passed","2026-06-18","","Nightly CI Tests","Nightly CI Tests",""
"","153550","TC_CC_2_2.py","","2026-06-18","passed","2026-06-18","","Nightly CI Tests","Nightly CI Tests",""
"","287786","TC_BRBINFO_4_1.py","","2026-06-18","passed","2026-06-18","","Nightly CI Tests","Nightly CI Tests",""
