"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1115605","TC_SU_2_7.py","","Mon May 11 00:35:01 UTC 2026","passed","Mon May 11 00:53:36 UTC 2026","","Nightly CI Tests","Nightly CI Tests",""
"","296266","TC_BRBINFO_4_1.py","","Mon May 11 00:34:57 UTC 2026","passed","Mon May 11 00:39:53 UTC 2026","","Nightly CI Tests","Nightly CI Tests",""
"","1379699","TC_SU_2_5.py","","Mon May 11 00:35:00 UTC 2026","passed","Mon May 11 00:57:59 UTC 2026","","Nightly CI Tests","Nightly CI Tests",""
"","151911","TC_CC_2_2.py","","Mon May 11 00:34:57 UTC 2026","passed","Mon May 11 00:37:28 UTC 2026","","Nightly CI Tests","Nightly CI Tests",""
