"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1022676","TC_SU_2_7.py","","2026-09-12","passed","2026-09-12","","Nightly CI Tests","Nightly CI Tests",""
"","863223","TC_SU_2_5.py","","2026-09-12","passed","2026-09-12","","Nightly CI Tests","Nightly CI Tests",""
"","293045","TC_BRBINFO_4_1.py","","2026-09-12","passed","2026-09-12","","Nightly CI Tests","Nightly CI Tests",""
"","156034","TC_CC_2_2.py","","2026-09-12","failed","2026-09-12","","Nightly CI Tests","Nightly CI Tests",""
"","805857","TC_SU_2_2.py","","2026-09-12","passed","2026-09-12","","Nightly CI Tests","Nightly CI Tests",""
