"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","151891","TC_CC_2_2.py","","Mon May 18 00:40:54 UTC 2026","passed","Mon May 18 00:43:25 UTC 2026","","Nightly CI Tests","Nightly CI Tests",""
"","295841","TC_BRBINFO_4_1.py","","Mon May 18 00:40:54 UTC 2026","passed","Mon May 18 00:45:49 UTC 2026","","Nightly CI Tests","Nightly CI Tests",""
"","1112801","TC_SU_2_7.py","","Mon May 18 00:41:06 UTC 2026","passed","Mon May 18 00:59:38 UTC 2026","","Nightly CI Tests","Nightly CI Tests",""
"","1374977","TC_SU_2_5.py","","Mon May 18 00:41:07 UTC 2026","passed","Mon May 18 01:04:01 UTC 2026","","Nightly CI Tests","Nightly CI Tests",""
