"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1022927","TC_SU_2_7.py","","2026-09-11","passed","2026-09-11","","Nightly CI Tests","Nightly CI Tests",""
"","154356","TC_CC_2_2.py","","2026-09-11","failed","2026-09-11","","Nightly CI Tests","Nightly CI Tests",""
"","685814","TC_SU_2_2.py","","2026-09-11","passed","2026-09-11","","Nightly CI Tests","Nightly CI Tests",""
"","292383","TC_BRBINFO_4_1.py","","2026-09-11","passed","2026-09-11","","Nightly CI Tests","Nightly CI Tests",""
"","863047","TC_SU_2_5.py","","2026-09-11","passed","2026-09-11","","Nightly CI Tests","Nightly CI Tests",""
