"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","291949","TC_BRBINFO_4_1.py","","2026-07-25","passed","2026-07-25","","Nightly CI Tests","Nightly CI Tests",""
"","866083","TC_SU_2_5.py","","2026-07-25","passed","2026-07-25","","Nightly CI Tests","Nightly CI Tests",""
"","153584","TC_CC_2_2.py","","2026-07-25","passed","2026-07-25","","Nightly CI Tests","Nightly CI Tests",""
"","1115524","TC_SU_2_7.py","","2026-07-25","passed","2026-07-25","","Nightly CI Tests","Nightly CI Tests",""
