"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","862583","TC_SU_2_5.py","","2026-09-03","passed","2026-09-03","","Nightly CI Tests","Nightly CI Tests",""
"","3206","TC_SU_2_7.py","","2026-09-03","failed","2026-09-03","","Nightly CI Tests","Nightly CI Tests",""
"","155684","TC_CC_2_2.py","","2026-09-03","passed","2026-09-03","","Nightly CI Tests","Nightly CI Tests",""
"","686112","TC_SU_2_2.py","","2026-09-03","passed","2026-09-03","","Nightly CI Tests","Nightly CI Tests",""
"","293741","TC_BRBINFO_4_1.py","","2026-09-03","passed","2026-09-03","","Nightly CI Tests","Nightly CI Tests",""
