"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","152901","TC_CC_2_2.py","","Fri May 29 01:06:16 UTC 2026","passed","Fri May 29 01:08:48 UTC 2026","","Nightly CI Tests","Nightly CI Tests",""
"","296282","TC_BRBINFO_4_1.py","","Fri May 29 01:06:16 UTC 2026","passed","Fri May 29 01:11:12 UTC 2026","","Nightly CI Tests","Nightly CI Tests",""
"","1117045","TC_SU_2_7.py","","Fri May 29 01:06:15 UTC 2026","passed","Fri May 29 01:24:52 UTC 2026","","Nightly CI Tests","Nightly CI Tests",""
