"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1378754","TC_SU_2_5.py","","Fri May 15 00:35:17 UTC 2026","passed","Fri May 15 00:58:15 UTC 2026","","Nightly CI Tests","Nightly CI Tests",""
"","152581","TC_CC_2_2.py","","Fri May 15 00:35:24 UTC 2026","passed","Fri May 15 00:37:56 UTC 2026","","Nightly CI Tests","Nightly CI Tests",""
"","1115506","TC_SU_2_7.py","","Fri May 15 00:35:24 UTC 2026","passed","Fri May 15 00:53:59 UTC 2026","","Nightly CI Tests","Nightly CI Tests",""
"","296831","TC_BRBINFO_4_1.py","","Fri May 15 00:35:24 UTC 2026","passed","Fri May 15 00:40:20 UTC 2026","","Nightly CI Tests","Nightly CI Tests",""
