"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","283734","TC_BRBINFO_4_1.py","","2026-08-28","passed","2026-08-28","","Nightly CI Tests","Nightly CI Tests",""
"","859115","TC_SU_2_5.py","","2026-08-28","passed","2026-08-28","","Nightly CI Tests","Nightly CI Tests",""
"","157427","TC_CC_2_2.py","","2026-08-28","passed","2026-08-28","","Nightly CI Tests","Nightly CI Tests",""
"","3094","TC_SU_2_7.py","","2026-08-28","failed","2026-08-28","","Nightly CI Tests","Nightly CI Tests",""
