"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1115097","TC_SU_2_7.py","","2026-08-06","passed","2026-08-06","","Nightly CI Tests","Nightly CI Tests",""
"","283846","TC_BRBINFO_4_1.py","","2026-08-06","passed","2026-08-06","","Nightly CI Tests","Nightly CI Tests",""
"","154639","TC_CC_2_2.py","","2026-08-06","passed","2026-08-06","","Nightly CI Tests","Nightly CI Tests",""
"","864657","TC_SU_2_5.py","","2026-08-06","passed","2026-08-06","","Nightly CI Tests","Nightly CI Tests",""
