"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20410","TC_BRBINFO_4_1.py","","2026-07-23","failed","2026-07-23","","Nightly CI Tests","Nightly CI Tests",""
"","864084","TC_SU_2_5.py","","2026-07-23","passed","2026-07-23","","Nightly CI Tests","Nightly CI Tests",""
"","1112769","TC_SU_2_7.py","","2026-07-23","passed","2026-07-23","","Nightly CI Tests","Nightly CI Tests",""
"","153789","TC_CC_2_2.py","","2026-07-23","passed","2026-07-23","","Nightly CI Tests","Nightly CI Tests",""
