"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","153390","TC_CC_2_2.py","","2026-08-02","passed","2026-08-02","","Nightly CI Tests","Nightly CI Tests",""
"","1111683","TC_SU_2_7.py","","2026-08-02","passed","2026-08-02","","Nightly CI Tests","Nightly CI Tests",""
"","862365","TC_SU_2_5.py","","2026-08-02","passed","2026-08-02","","Nightly CI Tests","Nightly CI Tests",""
"","291227","TC_BRBINFO_4_1.py","","2026-08-02","passed","2026-08-02","","Nightly CI Tests","Nightly CI Tests",""
