"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","861885","TC_SU_2_5.py","","2026-08-16","passed","2026-08-16","","Nightly CI Tests","Nightly CI Tests",""
"","290948","TC_BRBINFO_4_1.py","","2026-08-16","passed","2026-08-16","","Nightly CI Tests","Nightly CI Tests",""
"","1111385","TC_SU_2_7.py","","2026-08-16","passed","2026-08-16","","Nightly CI Tests","Nightly CI Tests",""
"","153654","TC_CC_2_2.py","","2026-08-16","passed","2026-08-16","","Nightly CI Tests","Nightly CI Tests",""
