"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","291192","TC_BRBINFO_4_1.py","","2026-07-27","passed","2026-07-27","","Nightly CI Tests","Nightly CI Tests",""
"","863465","TC_SU_2_5.py","","2026-07-27","passed","2026-07-27","","Nightly CI Tests","Nightly CI Tests",""
"","155131","TC_CC_2_2.py","","2026-07-27","passed","2026-07-27","","Nightly CI Tests","Nightly CI Tests",""
"","1113328","TC_SU_2_7.py","","2026-07-27","passed","2026-07-27","","Nightly CI Tests","Nightly CI Tests",""
