"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","304134","TC_SU_2_7.py","","2026-06-13","passed","2026-06-13","","Nightly CI Tests","Nightly CI Tests",""
"","304306","TC_SU_2_5.py","","2026-06-13","passed","2026-06-13","","Nightly CI Tests","Nightly CI Tests",""
"","296695","TC_BRBINFO_4_1.py","","2026-06-13","passed","2026-06-13","","Nightly CI Tests","Nightly CI Tests",""
"","152826","TC_CC_2_2.py","","2026-06-13","passed","2026-06-13","","Nightly CI Tests","Nightly CI Tests",""
