"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","304191","TC_SU_2_7.py","","2026-06-17","passed","2026-06-17","","Nightly CI Tests","Nightly CI Tests",""
"","296691","TC_BRBINFO_4_1.py","","2026-06-17","passed","2026-06-17","","Nightly CI Tests","Nightly CI Tests",""
"","154151","TC_CC_2_2.py","","2026-06-17","passed","2026-06-17","","Nightly CI Tests","Nightly CI Tests",""
"","304258","TC_SU_2_5.py","","2026-06-17","passed","2026-06-17","","Nightly CI Tests","Nightly CI Tests",""
