"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","156039","TC_CC_2_2.py","","2026-08-11","passed","2026-08-11","","Nightly CI Tests","Nightly CI Tests",""
"","1115563","TC_SU_2_7.py","","2026-08-11","passed","2026-08-11","","Nightly CI Tests","Nightly CI Tests",""
"","290949","TC_BRBINFO_4_1.py","","2026-08-11","passed","2026-08-11","","Nightly CI Tests","Nightly CI Tests",""
"","863238","TC_SU_2_5.py","","2026-08-11","passed","2026-08-11","","Nightly CI Tests","Nightly CI Tests",""
