"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","153307","TC_CC_2_2.py","","2026-06-11","passed","2026-06-11","","Nightly CI Tests","Nightly CI Tests",""
"","304142","TC_SU_2_7.py","","2026-06-11","passed","2026-06-11","","Nightly CI Tests","Nightly CI Tests",""
"","304242","TC_SU_2_5.py","","2026-06-11","passed","2026-06-11","","Nightly CI Tests","Nightly CI Tests",""
"","297046","TC_BRBINFO_4_1.py","","2026-06-11","passed","2026-06-11","","Nightly CI Tests","Nightly CI Tests",""
